Altium Designer Pick and Place Locations
C:\Users\James Garvey\AppData\Local\Temp\Releases\Snapshot\1\Assembly\Assembly\Pick Place EUROCIRCUITS\Nixie Valve Clock_EUROCIRCUITS_CPL.csv

========================================================================================================================
File Design Information:

Date:       31/12/25
Time:       18:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"R11","BottomLayer","48,7000mm","109,8000mm","0"
"R10","BottomLayer","45,2000mm","111,6000mm","180"
"J2","BottomLayer","5,5000mm","25,0000mm","90"
"J1","BottomLayer","49,5000mm","25,0000mm","90"
"R26B","BottomLayer","27,5000mm","117,3000mm","180"
"R26A","BottomLayer","27,5000mm","54,5000mm","180"
"X1","BottomLayer","11,5000mm","131,3500mm","270"
"U2","BottomLayer","17,9000mm","123,9000mm","270"
"U1","BottomLayer","6,9000mm","122,6000mm","0"
"R9","BottomLayer","12,0751mm","111,7670mm","270"
"R8","BottomLayer","6,2000mm","144,4000mm","180"
"R7","BottomLayer","10,9000mm","145,5000mm","270"
"R6","BottomLayer","8,8000mm","146,1000mm","180"
"R5","BottomLayer","46,6000mm","128,7000mm","0"
"R4","BottomLayer","47,3000mm","131,9000mm","270"
"R3","BottomLayer","44,5000mm","131,9000mm","270"
"R2","BottomLayer","45,2000mm","109,8000mm","180"
"R1","BottomLayer","43,8000mm","128,7000mm","180"
"Q1","BottomLayer","3,2000mm","145,3000mm","0"
"J4","BottomLayer","7,0650mm","113,6300mm","270"
"J3","BottomLayer","47,0000mm","119,5000mm","0"
"C7","BottomLayer","8,8250mm","130,1000mm","180"
"C6","BottomLayer","8,8250mm","132,6000mm","180"
"C5","BottomLayer","16,8250mm","132,7000mm","180"
"C4","BottomLayer","16,6750mm","131,2000mm","180"
"C3","BottomLayer","49,7000mm","132,4000mm","180"
"C2","BottomLayer","42,0750mm","132,4000mm","180"
"C1","BottomLayer","11,7000mm","120,5000mm","90"
"B1","BottomLayer","6,8000mm","153,1500mm","270"
"V2B","TopLayer","27,5000mm","121,9000mm","90"
"V2A","TopLayer","27,5000mm","59,1000mm","90"
"R27B","BottomLayer","33,5000mm","121,6000mm","90"
"R27A","BottomLayer","33,5000mm","59,3000mm","90"
"Q7B","BottomLayer","31,0000mm","121,9000mm","180"
"Q7A","BottomLayer","31,0000mm","59,1000mm","180"
"V1F","TopLayer","27,4129mm","165,8000mm","90"
"V1E","TopLayer","27,4129mm","140,8000mm","90"
"V1D","TopLayer","27,4129mm","103,0000mm","90"
"V1C","TopLayer","27,4129mm","78,0000mm","90"
"V1B","TopLayer","27,4129mm","40,2000mm","90"
"V1A","TopLayer","27,4129mm","15,2000mm","90"
"R25F","BottomLayer","26,0011mm","168,8966mm","90"
"R25E","BottomLayer","26,0021mm","143,8986mm","90"
"R25D","BottomLayer","25,9982mm","106,0956mm","90"
"R25C","BottomLayer","26,0096mm","81,0709mm","90"
"R25B","BottomLayer","25,9927mm","43,2987mm","90"
"R25A","BottomLayer","26,0000mm","18,3000mm","90"
"R24F","BottomLayer","26,8511mm","162,9966mm","0"
"R24E","BottomLayer","26,8521mm","137,9986mm","0"
"R24D","BottomLayer","26,8482mm","100,1956mm","0"
"R24C","BottomLayer","26,8596mm","75,1709mm","0"
"R24B","BottomLayer","26,8427mm","37,3987mm","0"
"R24A","BottomLayer","26,8500mm","12,4000mm","0"
"R23J","BottomLayer","49,7966mm","103,7412mm","0"
"R23I","BottomLayer","49,6966mm","96,4052mm","0"
"R23H","BottomLayer","49,6966mm","77,8159mm","0"
"R23G","BottomLayer","50,3966mm","70,5618mm","0"
"R23F","BottomLayer","39,5966mm","67,6309mm","0"
"R23E","BottomLayer","7,4966mm","100,8949mm","0"
"R23D","BottomLayer","7,4966mm","93,7379mm","0"
"R23C","BottomLayer","7,4966mm","86,4081mm","0"
"R23B","BottomLayer","7,4966mm","79,1004mm","0"
"R23A","BottomLayer","7,4966mm","71,8390mm","0"
"R22J","BottomLayer","46,7966mm","101,5662mm","90"
"R22I","BottomLayer","46,6966mm","94,2302mm","90"
"R22H","BottomLayer","46,6966mm","75,6409mm","90"
"R22G","BottomLayer","46,6966mm","68,3868mm","90"
"R22F","BottomLayer","36,5966mm","65,4559mm","90"
"R22E","BottomLayer","4,4966mm","98,7199mm","90"
"R22D","BottomLayer","4,4966mm","91,5629mm","90"
"R22C","BottomLayer","4,4966mm","84,2331mm","90"
"R22B","BottomLayer","4,4966mm","76,9254mm","90"
"R22A","BottomLayer","4,4966mm","69,6640mm","90"
"R21F","BottomLayer","14,3056mm","159,9021mm","180"
"R21E","BottomLayer","14,3014mm","134,9089mm","180"
"R21D","BottomLayer","14,3045mm","97,1010mm","180"
"R21C","BottomLayer","14,2877mm","72,0967mm","180"
"R21B","BottomLayer","14,3000mm","34,3032mm","180"
"R21A","BottomLayer","14,3000mm","9,3000mm","180"
"R20F","BottomLayer","18,0179mm","163,3054mm","90"
"R20E","BottomLayer","18,0137mm","138,3123mm","90"
"R20D","BottomLayer","18,0167mm","100,5043mm","90"
"R20C","BottomLayer","18,0000mm","75,5000mm","90"
"R20B","BottomLayer","18,0123mm","37,7065mm","90"
"R20A","BottomLayer","18,0123mm","12,7033mm","90"
"R19F","BottomLayer","14,4587mm","166,8080mm","90"
"R19E","BottomLayer","14,4545mm","141,8148mm","90"
"R19D","BottomLayer","14,4575mm","104,0069mm","90"
"R19C","BottomLayer","14,4408mm","79,0026mm","90"
"R19B","BottomLayer","14,4531mm","41,2091mm","90"
"R19A","BottomLayer","14,4531mm","16,2059mm","90"
