Altium Designer Pick and Place Locations
C:\Users\James Garvey\AppData\Local\Temp\Releases\Snapshot\1\Assembly\Assembly\Pick Place JLCPCB\Nixie Valve Clock_JLCPCB_CPL.csv

========================================================================================================================
File Design Information:

Date:       31/12/25
Time:       18:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"R11","48,7000mm","109,8000mm","BottomLayer","0"
"R10","45,2000mm","111,6000mm","BottomLayer","180"
"J2","5,5000mm","25,0000mm","BottomLayer","90"
"J1","49,5000mm","25,0000mm","BottomLayer","90"
"R26B","27,5000mm","117,3000mm","BottomLayer","180"
"R26A","27,5000mm","54,5000mm","BottomLayer","180"
"X1","11,5000mm","131,3500mm","BottomLayer","270"
"U2","17,9000mm","123,9000mm","BottomLayer","270"
"U1","6,9000mm","122,6000mm","BottomLayer","0"
"R9","12,0751mm","111,7670mm","BottomLayer","270"
"R8","6,2000mm","144,4000mm","BottomLayer","180"
"R7","10,9000mm","145,5000mm","BottomLayer","270"
"R6","8,8000mm","146,1000mm","BottomLayer","180"
"R5","46,6000mm","128,7000mm","BottomLayer","0"
"R4","47,3000mm","131,9000mm","BottomLayer","270"
"R3","44,5000mm","131,9000mm","BottomLayer","270"
"R2","45,2000mm","109,8000mm","BottomLayer","180"
"R1","43,8000mm","128,7000mm","BottomLayer","180"
"Q1","3,2000mm","145,3000mm","BottomLayer","0"
"J4","7,0650mm","113,6300mm","BottomLayer","270"
"J3","47,0000mm","119,5000mm","BottomLayer","0"
"C7","8,8250mm","130,1000mm","BottomLayer","180"
"C6","8,8250mm","132,6000mm","BottomLayer","180"
"C5","16,8250mm","132,7000mm","BottomLayer","180"
"C4","16,6750mm","131,2000mm","BottomLayer","180"
"C3","49,7000mm","132,4000mm","BottomLayer","180"
"C2","42,0750mm","132,4000mm","BottomLayer","180"
"C1","11,7000mm","120,5000mm","BottomLayer","90"
"B1","6,8000mm","153,1500mm","BottomLayer","270"
"V2B","27,5000mm","121,9000mm","TopLayer","90"
"V2A","27,5000mm","59,1000mm","TopLayer","90"
"R27B","33,5000mm","121,6000mm","BottomLayer","90"
"R27A","33,5000mm","59,3000mm","BottomLayer","90"
"Q7B","31,0000mm","121,9000mm","BottomLayer","180"
"Q7A","31,0000mm","59,1000mm","BottomLayer","180"
"V1F","27,4129mm","165,8000mm","TopLayer","90"
"V1E","27,4129mm","140,8000mm","TopLayer","90"
"V1D","27,4129mm","103,0000mm","TopLayer","90"
"V1C","27,4129mm","78,0000mm","TopLayer","90"
"V1B","27,4129mm","40,2000mm","TopLayer","90"
"V1A","27,4129mm","15,2000mm","TopLayer","90"
"R25F","26,0011mm","168,8966mm","BottomLayer","90"
"R25E","26,0021mm","143,8986mm","BottomLayer","90"
"R25D","25,9982mm","106,0956mm","BottomLayer","90"
"R25C","26,0096mm","81,0709mm","BottomLayer","90"
"R25B","25,9927mm","43,2987mm","BottomLayer","90"
"R25A","26,0000mm","18,3000mm","BottomLayer","90"
"R24F","26,8511mm","162,9966mm","BottomLayer","0"
"R24E","26,8521mm","137,9986mm","BottomLayer","0"
"R24D","26,8482mm","100,1956mm","BottomLayer","0"
"R24C","26,8596mm","75,1709mm","BottomLayer","0"
"R24B","26,8427mm","37,3987mm","BottomLayer","0"
"R24A","26,8500mm","12,4000mm","BottomLayer","0"
"R23J","49,7966mm","103,7412mm","BottomLayer","0"
"R23I","49,6966mm","96,4052mm","BottomLayer","0"
"R23H","49,6966mm","77,8159mm","BottomLayer","0"
"R23G","50,3966mm","70,5618mm","BottomLayer","0"
"R23F","39,5966mm","67,6309mm","BottomLayer","0"
"R23E","7,4966mm","100,8949mm","BottomLayer","0"
"R23D","7,4966mm","93,7379mm","BottomLayer","0"
"R23C","7,4966mm","86,4081mm","BottomLayer","0"
"R23B","7,4966mm","79,1004mm","BottomLayer","0"
"R23A","7,4966mm","71,8390mm","BottomLayer","0"
"R22J","46,7966mm","101,5662mm","BottomLayer","90"
"R22I","46,6966mm","94,2302mm","BottomLayer","90"
"R22H","46,6966mm","75,6409mm","BottomLayer","90"
"R22G","46,6966mm","68,3868mm","BottomLayer","90"
"R22F","36,5966mm","65,4559mm","BottomLayer","90"
"R22E","4,4966mm","98,7199mm","BottomLayer","90"
"R22D","4,4966mm","91,5629mm","BottomLayer","90"
"R22C","4,4966mm","84,2331mm","BottomLayer","90"
"R22B","4,4966mm","76,9254mm","BottomLayer","90"
"R22A","4,4966mm","69,6640mm","BottomLayer","90"
"R21F","14,3056mm","159,9021mm","BottomLayer","180"
"R21E","14,3014mm","134,9089mm","BottomLayer","180"
"R21D","14,3045mm","97,1010mm","BottomLayer","180"
"R21C","14,2877mm","72,0967mm","BottomLayer","180"
"R21B","14,3000mm","34,3032mm","BottomLayer","180"
"R21A","14,3000mm","9,3000mm","BottomLayer","180"
"R20F","18,0179mm","163,3054mm","BottomLayer","90"
"R20E","18,0137mm","138,3123mm","BottomLayer","90"
"R20D","18,0167mm","100,5043mm","BottomLayer","90"
"R20C","18,0000mm","75,5000mm","BottomLayer","90"
"R20B","18,0123mm","37,7065mm","BottomLayer","90"
"R20A","18,0123mm","12,7033mm","BottomLayer","90"
"R19F","14,4587mm","166,8080mm","BottomLayer","90"
"R19E","14,4545mm","141,8148mm","BottomLayer","90"
"R19D","14,4575mm","104,0069mm","BottomLayer","90"
"R19C","14,4408mm","79,0026mm","BottomLayer","90"
"R19B","14,4531mm","41,2091mm","BottomLayer","90"
"R19A","14,4531mm","16,2059mm","BottomLayer","90"
"R18F","17,3179mm","170,8055mm","BottomLayer","0"
"R18E","17,3137mm","145,8123mm","BottomLayer","0"
"R18D","17,3167mm","108,0043mm","BottomLayer","0"
"R18C","17,3000mm","83,0000mm","BottomLayer","0"
"R18B","17,3123mm","45,2065mm","BottomLayer","0"
"R18A","17,3123mm","20,2033mm","BottomLayer","0"
"Q6F","26,8011mm","165,7966mm","BottomLayer","270"
"Q6E","26,8021mm","140,7986mm","BottomLayer","270"
"Q6D","26,7982mm","102,9956mm","BottomLayer","270"
"Q6C","26,8096mm","77,9709mm","BottomLayer","270"
"Q6B","26,7927mm","40,1987mm","BottomLayer","270"
"Q6A","26,8000mm","15,2000mm","BottomLayer","270"
"Q5J","50,0966mm","100,9412mm","BottomLayer","180"
"Q5I","49,9966mm","93,6052mm","BottomLayer","180"
"Q5H","49,9966mm","75,0159mm","BottomLayer","180"
"Q5G","49,9966mm","67,7618mm","BottomLayer","180"
"Q5F","39,8966mm","64,8309mm","BottomLayer","180"
"Q5E","7,7966mm","98,0949mm","BottomLayer","180"
"Q5D","7,7966mm","90,9379mm","BottomLayer","180"
"Q5C","7,7966mm","83,6081mm","BottomLayer","180"
"Q5B","7,7966mm","76,3004mm","BottomLayer","180"
"Q5A","7,7966mm","69,0390mm","BottomLayer","180"
"Q4F","14,5587mm","162,8750mm","BottomLayer","0"
"Q4E","14,5545mm","137,8818mm","BottomLayer","0"
"Q4D","14,5575mm","100,0738mm","BottomLayer","0"
"Q4C","14,5408mm","75,0695mm","BottomLayer","0"
"Q4B","14,5531mm","37,2760mm","BottomLayer","0"
"Q4A","14,5531mm","12,2728mm","BottomLayer","0"
"Q3F","17,9056mm","167,4021mm","BottomLayer","90"
"Q3E","17,9014mm","142,4089mm","BottomLayer","90"
"Q3D","17,9045mm","104,6010mm","BottomLayer","90"
"Q3C","17,8877mm","79,5967mm","BottomLayer","90"
"Q3B","17,9000mm","41,8032mm","BottomLayer","90"
"Q3A","17,9000mm","16,8000mm","BottomLayer","90"
"D3F","27,5011mm","165,7966mm","TopLayer","90"
"D3E","27,5021mm","140,7986mm","TopLayer","90"
"D3D","27,4982mm","102,9956mm","TopLayer","90"
"D3C","27,5096mm","77,9709mm","TopLayer","90"
"D3B","27,4927mm","40,1987mm","TopLayer","90"
"D3A","27,5000mm","15,2000mm","TopLayer","90"
