Manufacturer Part Number 1,Designator,Footprint,Quantity

"","V1A","Nixie IN-14 Valve","1"
"","V1B","Nixie IN-14 Valve","1"
"","V1C","Nixie IN-14 Valve","1"
"","V1D","Nixie IN-14 Valve","1"
"","V1E","Nixie IN-14 Valve","1"
"","V1F","Nixie IN-14 Valve","1"
"","V2A","IN-3-Footprint-1","1"
"","V2B","IN-3-Footprint-1","1"
"06036D476MAT2A","C5","CAPC1608X87X35NL15T15","1"
"C0603X150J5GACTU","C6","CAPC1608X87X35NL15T15","1"
"C0603X150J5GACTU","C7","CAPC1608X87X35NL15T15","1"
"CD4028BPWR","U1","PW0016A_N","1"
"CGA3E2X7R1H104K080AA","C1","CAPC1608X09N","1"
"CGA3E2X7R1H104K080AA","C2","CAPC1608X09N","1"
"CGA3E2X7R1H104K080AA","C3","CAPC1608X09N","1"
"CGA3E2X7R1H104K080AA","C4","CAPC1608X09N","1"
"CRCW0603150RFKEAHP","R10","RESC1608X55X25NL10T15","1"
"CRCW0603150RFKEAHP","R11","RESC1608X55X25NL10T15","1"
"CRGCQ1210F4K7","R20A","RESC3126X65X50NL10T20","1"
"CRGCQ1210F4K7","R20B","RESC3126X65X50NL10T20","1"
"CRGCQ1210F4K7","R20C","RESC3126X65X50NL10T20","1"
"CRGCQ1210F4K7","R20D","RESC3126X65X50NL10T20","1"
"CRGCQ1210F4K7","R20E","RESC3126X65X50NL10T20","1"
"CRGCQ1210F4K7","R20F","RESC3126X65X50NL10T20","1"
"CRGCQ1210F100K","R18A","RESC3126X65X50NL10T20","1"
"CRGCQ1210F100K","R18B","RESC3126X65X50NL10T20","1"
"CRGCQ1210F100K","R18C","RESC3126X65X50NL10T20","1"
"CRGCQ1210F100K","R18D","RESC3126X65X50NL10T20","1"
"CRGCQ1210F100K","R18E","RESC3126X65X50NL10T20","1"
"CRGCQ1210F100K","R18F","RESC3126X65X50NL10T20","1"
"ERJ-3EKF33R0V","R24A","RESC1608X55X25NL10T15","1"
"ERJ-3EKF33R0V","R24B","RESC1608X55X25NL10T15","1"
"ERJ-3EKF33R0V","R24C","RESC1608X55X25NL10T15","1"
"ERJ-3EKF33R0V","R24D","RESC1608X55X25NL10T15","1"
"ERJ-3EKF33R0V","R24E","RESC1608X55X25NL10T15","1"
"ERJ-3EKF33R0V","R24F","RESC1608X55X25NL10T15","1"
"ERJ-3EKF1000V","R9","RESC1608X55X25NL10T15","1"
"ERJP14F1303U","R19A","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R19B","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R19C","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R19D","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R19E","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R19F","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R22A","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R22B","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R22C","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R22D","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R22E","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R22F","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R22G","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R22H","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R22I","RESC3126X65X50NL10T20","1"
"ERJP14F1303U","R22J","RESC3126X65X50NL10T20","1"
"FLE-120-01-G-DV","J1","FLE-120-01-XX-DV","1"
"FLE-120-01-G-DV","J2","FLE-120-01-XX-DV","1"
"FTSH-107-01-L-DV-K-A","J4","FP-FTSH-107-01-L-DV-K-A-MFG","1"
"IN-S85AT5UW","D3A","DIOC2012X11N","1"
"IN-S85AT5UW","D3B","DIOC2012X11N","1"
"IN-S85AT5UW","D3C","DIOC2012X11N","1"
"IN-S85AT5UW","D3D","DIOC2012X11N","1"
"IN-S85AT5UW","D3E","DIOC2012X11N","1"
"IN-S85AT5UW","D3F","DIOC2012X11N","1"
"MI-SMT09-0327-SK","B1","INDP9696X53N","1"
"MMBTA42LT1G","Q1","ONSC-SOT-23-3-318-08_V","1"
"MMBTA42LT1G","Q3A","ONSC-SOT-23-3-318-08_V","1"
"MMBTA42LT1G","Q3B","ONSC-SOT-23-3-318-08_V","1"
"MMBTA42LT1G","Q3C","ONSC-SOT-23-3-318-08_V","1"
"MMBTA42LT1G","Q3D","ONSC-SOT-23-3-318-08_V","1"
"MMBTA42LT1G","Q3E","ONSC-SOT-23-3-318-08_V","1"
"MMBTA42LT1G","Q3F","ONSC-SOT-23-3-318-08_V","1"
"MMBTA42LT1G","Q4A","ONSC-SOT-23-3-318-08_V","1"
"MMBTA42LT1G","Q4B","ONSC-SOT-23-3-318-08_V","1"
"MMBTA42LT1G","Q4C","ONSC-SOT-23-3-318-08_V","1"
"MMBTA42LT1G","Q4D","ONSC-SOT-23-3-318-08_V","1"
"MMBTA42LT1G","Q4E","ONSC-SOT-23-3-318-08_V","1"
"MMBTA42LT1G","Q4F","ONSC-SOT-23-3-318-08_V","1"
"MMBTA42LT1G","Q5A","ONSC-SOT-23-3-318-08_V","1"
"MMBTA42LT1G","Q5B","ONSC-SOT-23-3-318-08_V","1"
