Manufacturer Part Number 1,Designator,Footprint,Quantity

"1PMT4135E3/TR7","D2","FP-DO-216-MFG","1"
"5-2176330-3","R5","RESC5125X07N","1"
"5-2176347-6","R11","RESC5125X07N","1"
"3266W-1-502LF","TR1","3266W-1-502LF-Footprint-1","1"
"694106301002","J3","694106301002","1"
"AC0603FR-077R5L","R2","RESC1608X55X25NL10T15","1"
"BC807-25WT1G","Q1","ONSC-SC-70-3-419-04_V","1"
"BC817-25-TP","Q5","SOT95P237X110-3N","1"
"BSP317PH6327XTSA1","Q2","INF-PG-SOT223_SC-73_N","1"
"C1608X7R1H334K080AC","C13","CAPC1608X10N","1"
"CC0805KKX7RYBB104","C1","CAPC2013X95X50NL10T25-Wider-Spacing","1"
"CGA3E2X7R1H104K080AA","C11","CAPC1608X09N","1"
"CGA3E2X7R1H104K080AA","C12","CAPC1608X09N","1"
"CGA3E2X7R1H104K080AA","C14","CAPC1608X09N","1"
"CGA3E2X7R1H104K080AA","C15","CAPC1608X09N","1"
"CGA8P3X7T2E105K250KA","C3","CAPC4532X28N","1"
"CGA8P3X7T2E105K250KA","C4","CAPC4532X28N","1"
"CGA8P3X7T2E105K250KA","C5","CAPC4532X28N","1"
"CGA8P3X7T2E105K250KA","C6","CAPC4532X28N","1"
"CGA8P3X7T2E105K250KA","C7","CAPC4532X28N","1"
"CGA8P3X7T2E105K250KA","C8","CAPC4532X28N","1"
"CRCW06034K70FKEA","R15","RESC1608X55X25NL10T15","1"
"CRCW1206150KFKEAHP","R13","RESC3216X06N","1"
"CRCW1210470RFKEAHP","R14","RESC3126X65X50NL10T20","1"
"CRMA2010AF1M50FKEF","R4","RESC5125X07N","1"
"ERJ3RBD3301V","R7","RESC1608X55X25NL10T15","1"
"ERJ-3EKF1202V","R1","RESC1609X55X30NL15T15","1"
"ERJ-3EKF2002V","R3","RESC1608X55X30NL15T15","1"
"ERJ-3EKF5601V","R6","RESC1609X55X30NL15T15","1"
"ES2F-E3/5BT","D1","DIOM4336X24N","1"
"FTS-120-02-L-DV","J1","SAMTEC_FTS-120-X-X-DV","1"
"FTS-120-02-L-DV","J2","SAMTEC_FTS-120-X-X-DV","1"
"MAX1771CSA+","U1","Copy of ADI-R-8_N","1"
"MCP6541RT-I/OT","U2","SOT-23-OT5_N","1"
"RC0805FR-0710KL","R8","RESC2013X50X35NL15T15","1"
"RC0805FR-0710KL","R12","RESC2013X50X35NL15T15","1"
"RL1210FR-070R025L","R9","RESC3126X65X50NL10T20","1"
"SI4459BDY-T1-GE3","Q4","SI4459BDY-T1-GE3-Footprint-1","1"
"SRR1280-101M","L1","BOUR-SRR1280-2_V","1"
"SS54BF-HF","D3","JCET-SMB-2_N","1"
"STD18NF25","Q3","DPAK229P972X240-3N","1"
"TPSD106K035R0300","C10","CAPMP7344X31N","1"
"TPSD107M016R0125","C2","CAPMP7344X31N","1"
"UA78M33CDCYG3","U3","SOT-223-DB3_N","1"
