Altium Designer Pick and Place Locations
C:\Users\James Garvey\AppData\Local\Temp\Releases\Snapshot\1\Assembly\Assembly\Pick Place JLCPCB\Nixie Valve Clock Power Supply Daughterboard_JLCPCB_CPL.csv

========================================================================================================================
File Design Information:

Date:       31/12/25
Time:       18:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"R3","46,3542mm","35,2000mm","BottomLayer","270"
"R1","52,0354mm","33,2474mm","BottomLayer","90"
"C15","49,6843mm","36,8613mm","BottomLayer","180"
"J3","40,5000mm","6,0000mm","BottomLayer","0"
"D3","40,5764mm","43,5618mm","BottomLayer","270"
"U3","47,5612mm","43,5000mm","BottomLayer","0"
"R15","23,2750mm","12,5853mm","BottomLayer","0"
"R14","29,3452mm","15,5930mm","BottomLayer","0"
"R13","48,9862mm","27,6081mm","BottomLayer","180"
"R12","11,4446mm","11,6002mm","BottomLayer","0"
"R11","44,9992mm","16,0775mm","BottomLayer","90"
"TR1","15,8940mm","14,2927mm","BottomLayer","90"
"R9","11,2652mm","21,3450mm","BottomLayer","90"
"Q5","23,5250mm","9,9653mm","BottomLayer","270"
"Q4","28,4702mm","10,1604mm","BottomLayer","90"
"Q3","16,0591mm","28,8250mm","BottomLayer","90"
"Q2","50,4224mm","15,2660mm","BottomLayer","270"
"C14","44,8014mm","48,0868mm","BottomLayer","0"
"U2","49,2362mm","34,0474mm","BottomLayer","180"
"U1","16,9591mm","20,7100mm","BottomLayer","180"
"R8","27,7412mm","5,3285mm","BottomLayer","0"
"R7","43,3866mm","28,3831mm","BottomLayer","0"
"R6","48,9630mm","21,6703mm","BottomLayer","270"
"R5","47,9630mm","30,6115mm","BottomLayer","0"
"R4","9,9196mm","14,2659mm","BottomLayer","180"
"R2","51,1755mm","20,8950mm","BottomLayer","0"
"Q1","51,2112mm","23,3684mm","BottomLayer","90"
"L1","26,6132mm","34,1559mm","BottomLayer","180"
"J2","5,5000mm","25,0000mm","TopLayer","90"
"J1","49,5000mm","25,0000mm","TopLayer","90"
"D2","46,0675mm","25,4000mm","BottomLayer","0"
"D1","15,8841mm","38,5749mm","BottomLayer","0"
"C13","44,8513mm","38,9868mm","BottomLayer","0"
"C12","11,6841mm","16,7750mm","BottomLayer","180"
"C11","21,9945mm","20,4964mm","BottomLayer","270"
"C10","25,7000mm","22,6950mm","BottomLayer","270"
"C9","43,6980mm","30,8443mm","BottomLayer","90"
"C8","14,5591mm","44,5000mm","BottomLayer","90"
"C7","18,7000mm","44,5000mm","BottomLayer","90"
"C6","4,7747mm","34,5250mm","BottomLayer","180"
"C5","5,7959mm","44,5000mm","BottomLayer","90"
"C4","4,7959mm","38,7733mm","BottomLayer","180"
"C3","10,1847mm","44,5000mm","BottomLayer","90"
"C2","31,0000mm","22,6950mm","BottomLayer","270"
"C1","6,1750mm","31,3515mm","BottomLayer","180"
